ACL v0.4 @ 0.01.cm,UE 4.15 @ 0.1cm,UE 4.15 @ 0.01cm
11.938833,9.868313,5.169695
11.938833,9.868313,5.227655
12.039448,9.917873,5.227655
12.116575,9.917873,5.378404
12.665094,10.254124,5.4562
9.227836,8.76358,5.354828
10.134609,9.22658,5.354828
10.134609,9.264424,4.971386
10.375134,9.264424,4.971386
10.737659,9.289827,4.978692
10.862456,9.685534,5.020003
10.862456,9.718876,5.029691
11.125524,9.718876,5.051439
11.8162,9.724455,5.289618
10.731539,8.85929,4.988036
11.118953,9.217579,4.988036
11.150685,9.217579,5.007763
11.150685,9.622291,5.009965
11.810347,9.729084,5.131792
11.810347,9.729084,5.131792
10.341303,9.505649,4.984251
10.36305,9.587548,5.008857
10.36305,9.64114,5.019791
10.460465,9.64114,5.021252
10.90524,9.64114,5.050659
11.507298,9.651931,5.067724
11.810665,9.791655,5.067724
13.023501,9.844748,5.344074
13.155115,9.844748,5.416235
13.551758,9.967062,5.43073
13.551758,10.275842,5.43073
10.516392,8.623389,4.979825
10.516392,9.156538,4.979825
10.623932,9.156538,5.012097
10.623932,9.286019,5.015708
10.718818,9.411573,5.103226
10.87795,9.411573,5.150044
10.87795,9.462751,5.150044
10.884754,9.462751,5.200837
11.176621,9.643668,5.200837
11.189198,9.831638,5.291774
10.454667,9.230284,5.366346
10.454667,9.56991,4.976896
10.677209,9.56991,4.976896
10.677209,9.702127,5.032536
11.463271,9.818792,5.199467
11.527248,9.818792,5.199467
9.992947,8.835121,4.988732
10.510386,9.294148,5.041993
10.831804,9.407702,5.058555
10.994878,9.653856,5.433349
10.925994,9.299323,4.987158
10.925994,9.335773,4.987158
11.044204,9.335773,5.011642
11.044204,9.421941,5.011642
11.063013,9.421941,5.018682
11.063013,9.729848,5.032822
11.121556,9.729848,5.050608
11.131952,9.732498,5.152582
11.471504,9.753754,5.152582
11.512164,9.753754,5.159278
11.512164,9.842424,5.159278
12.139994,10.061391,5.216528
12.139994,10.061391,5.216528
12.275554,10.373983,5.507631
10.701114,9.352713,5.008478
11.180887,9.543432,5.030853
11.53152,9.760564,5.080502
11.564827,9.789731,5.238552
11.645177,10.046278,5.332347
12.211453,10.246233,5.397035
9.943639,8.942913,5.076687
10.81184,9.678828,5.139867
10.887957,10.025931,5.186813
11.589286,10.037006,5.20166
11.589286,10.037006,5.20166
12.25974,10.08995,5.362054
